Total P&L (₹),Ending Equity (₹),Total Trades,Win Rate (%),Max Drawdown (%),Profit Factor,symbol,strategy
"-15,551.14","103,680.43",1111,33.12,-6.58,0.80,ADANIGREEN_MINUTE,moving_average_crossover
"-16,917.09","101,872.73",1122,33.42,-5.48,0.76,ATGL_MINUTE,moving_average_crossover
"-34,953.51","91,681.66",1703,31.88,-11.76,0.69,ADANIENSOL_MINUTE,moving_average_crossover
"-15,143.34","117,964.06",1743,34.19,-4.97,0.89,ADANIPOWER_MINUTE,moving_average_crossover
"-22,060.06","109,130.92",1765,35.30,-2.35,0.75,AMBUJACEM_MINUTE,moving_average_crossover
"-23,010.42","108,631.10",1802,34.30,-3.18,0.76,ADANIPORTS_MINUTE,moving_average_crossover
"-13,955.20","117,914.14",1758,36.12,-1.80,0.83,AXISBANK_MINUTE,moving_average_crossover
"-13,348.59","116,725.03",1770,35.93,-2.94,0.83,APOLLOHOSP_MINUTE,moving_average_crossover
"-14,979.24","117,491.84",1782,36.98,-4.00,0.88,ADANIENT_MINUTE,moving_average_crossover
"-18,627.81","110,698.01",1825,34.25,-2.33,0.73,BAJAJ-AUTO_MINUTE,moving_average_crossover
"-21,141.77","108,766.25",1787,33.35,-3.08,0.70,ASIANPAINT_MINUTE,moving_average_crossover
"-30,381.34","98,075.75",1835,31.06,-7.57,0.66,ABB_MINUTE,moving_average_crossover
"-13,369.46","119,478.86",1788,34.45,-1.40,0.85,BAJAJFINSV_MINUTE,moving_average_crossover
"-32,723.82","95,736.01",1948,28.54,-9.32,0.57,BAJAJHLDNG_MINUTE,moving_average_crossover
"-14,076.92","102,756.41",1185,32.15,-1.47,0.68,BOSCHLTD_MINUTE,moving_average_crossover
"-11,819.81","120,064.02",1717,36.40,-3.00,0.89,BHEL_MINUTE,moving_average_crossover
"-17,711.09","115,401.40",1816,36.23,-3.85,0.85,BANKBARODA_MINUTE,moving_average_crossover
"-19,488.79","111,049.67",1739,35.94,-4.85,0.79,BEL_MINUTE,moving_average_crossover
"-22,893.43","109,024.88",1778,35.55,-5.16,0.77,BPCL_MINUTE,moving_average_crossover
"-23,369.02","108,543.75",1835,33.90,-2.84,0.73,BHARTIARTL_MINUTE,moving_average_crossover
"-17,887.44","112,525.96",1813,33.81,-2.36,0.79,BAJFINANCE_MINUTE,moving_average_crossover
"-14,414.64","118,023.90",1734,36.22,-3.45,0.88,CANBK_MINUTE,moving_average_crossover
"-24,117.35","105,793.57",1847,32.59,-2.71,0.67,BRITANNIA_MINUTE,moving_average_crossover
"-12,155.48","120,072.68",1813,35.74,-4.73,0.88,CHOLAFIN_MINUTE,moving_average_crossover
"-30,417.21","100,638.93",1862,31.63,-3.61,0.64,CIPLA_MINUTE,moving_average_crossover
"-23,369.31","107,958.15",1771,33.43,-3.31,0.75,COALINDIA_MINUTE,moving_average_crossover
"-20,694.14","101,836.09",1404,32.55,-2.89,0.67,DMART_MINUTE,moving_average_crossover
"-28,142.01","103,106.69",1796,32.07,-3.47,0.63,DABUR_MINUTE,moving_average_crossover
"-22,286.91","97,470.99",1253,29.93,-6.78,0.65,HAL_MINUTE,moving_average_crossover
"-26,709.72","104,796.76",1815,31.85,-2.72,0.66,DRREDDY_MINUTE,moving_average_crossover
"-11,101.95","121,831.00",1795,36.43,-3.28,0.90,DLF_MINUTE,moving_average_crossover
"-16,008.03","114,829.69",1794,34.17,-1.94,0.80,EICHERMOT_MINUTE,moving_average_crossover
"-17,855.97","113,308.15",1818,36.25,-2.17,0.78,DIVISLAB_MINUTE,moving_average_crossover
"-21,398.29","110,472.49",1790,36.70,-2.44,0.75,GODREJCP_MINUTE,moving_average_crossover
"-22,484.40","109,706.54",1822,34.96,-2.20,0.77,GAIL_MINUTE,moving_average_crossover
"-20,392.44","111,552.27",1822,34.80,-2.28,0.76,GRASIM_MINUTE,moving_average_crossover
"-20,173.56","102,076.39",1302,32.41,-3.83,0.68,HDFCLIFE_MINUTE,moving_average_crossover
"-19,182.38","104,672.89",1388,32.42,-4.94,0.71,ICICIGI_MINUTE,moving_average_crossover
"-31,303.57","100,147.00",1870,30.43,-2.78,0.62,HCLTECH_MINUTE,moving_average_crossover
"-19,822.97","112,919.81",1821,35.53,-2.98,0.78,HAVELLS_MINUTE,moving_average_crossover
"-29,382.32","100,068.13",1769,29.85,-4.23,0.55,HDFCBANK_MINUTE,moving_average_crossover
"-21,772.33","107,930.96",1787,32.46,-3.31,0.71,HEROMOTOCO_MINUTE,moving_average_crossover
"-14,292.46","112,721.01",1502,35.09,-2.22,0.81,ICICIPRULI_MINUTE,moving_average_crossover
,,FAILED,,,,IRCTC_MINUTE,moving_average_crossover
"-20,746.02","110,766.97",1756,36.50,-2.71,0.79,HINDALCO_MINUTE,moving_average_crossover
"-5,244.50","98,520.24",225,31.11,-2.82,0.56,JIOFIN_MINUTE,moving_average_crossover
"-19,183.18","111,663.32",1796,33.41,-1.53,0.71,HINDUNILVR_MINUTE,moving_average_crossover
"-12,124.52","121,340.41",1796,35.80,-1.51,0.86,ICICIBANK_MINUTE,moving_average_crossover
"-6,257.43","124,100.63",1646,37.00,-2.33,0.93,INDIGO_MINUTE,moving_average_crossover
"-47,445.13","80,930.59",1930,33.58,-20.87,0.76,INDIA VIX_MINUTE,moving_average_crossover
"-17,495.02","93,784.15",709,28.63,-9.67,0.63,IRFC_MINUTE,moving_average_crossover
"-7,464.46","99,777.82",435,27.36,-2.41,0.62,LICI_MINUTE,moving_average_crossover
"-2,145.81","109,590.77",666,37.39,-2.27,0.95,LODHA_MINUTE,moving_average_crossover
"-15,470.53","116,815.42",1790,35.47,-2.04,0.83,INDUSINDBK_MINUTE,moving_average_crossover
"-23,060.93","107,117.92",1782,33.00,-2.08,0.67,INFY_MINUTE,moving_average_crossover
"-24,137.99","107,280.60",1786,32.03,-2.63,0.66,ITC_MINUTE,moving_average_crossover
"-23,004.62","108,667.66",1777,33.31,-4.77,0.77,IOC_MINUTE,moving_average_crossover
"2,067.69","138,483.51",1796,39.03,-2.97,1.02,JINDALSTEL_MINUTE,moving_average_crossover
"-17,679.20","112,851.96",1753,34.40,-6.89,0.85,JSWENERGY_MINUTE,moving_average_crossover
"-22,459.54","101,603.39",1538,29.52,-4.52,0.68,LTIM_MINUTE,moving_average_crossover
"-20,595.77","111,825.74",1843,34.07,-2.17,0.74,KOTAKBANK_MINUTE,moving_average_crossover
"-24,158.95","108,746.27",1879,34.38,-2.25,0.76,JSWSTEEL_MINUTE,moving_average_crossover
"-22,034.27","108,079.07",1799,33.35,-1.87,0.70,LT_MINUTE,moving_average_crossover
"-21,148.54","103,990.18",1777,31.68,-1.84,0.65,MARUTI_MINUTE,moving_average_crossover
"-9,571.56","124,966.90",1786,36.51,-3.91,0.91,MOTHERSON_MINUTE,moving_average_crossover
"-15,546.09","115,802.16",1814,35.23,-1.86,0.84,NAUKRI_MINUTE,moving_average_crossover
,,FAILED,,,,SBIN_MINUTE,moving_average_crossover
"-22,422.89","107,644.33",1784,32.62,-1.68,0.66,NESTLEIND_MINUTE,moving_average_crossover
"-36,745.48","91,634.05",1797,30.66,-15.66,0.64,NHPC_MINUTE,moving_average_crossover
"-22,701.35","109,998.30",1792,34.38,-2.95,0.73,NTPC_MINUTE,moving_average_crossover
"-25,553.39","105,796.62",1812,34.22,-4.82,0.71,ONGC_MINUTE,moving_average_crossover
"-14,862.14","117,180.02",1713,37.42,-2.61,0.85,PFC_MINUTE,moving_average_crossover
"-28,897.05","101,548.00",1845,30.30,-3.73,0.64,PIDILITIND_MINUTE,moving_average_crossover
"-21,134.83","111,585.10",1835,35.31,-5.22,0.81,PNB_MINUTE,moving_average_crossover
"-21,832.30","110,549.97",1816,34.09,-1.74,0.72,POWERGRID_MINUTE,moving_average_crossover
"-21,409.14","100,802.50",1345,31.38,-2.92,0.66,SBILIFE_MINUTE,moving_average_crossover
