Total P&L (₹),Ending Equity (₹),Total Trades,Win Rate (%),Max Drawdown (%),Profit Factor,symbol,strategy
"-22,645.55","129,058.55",2565,33.65,-8.22,0.88,ATGL_MINUTE,rsi_oversold
"-20,184.82","131,408.49",2661,36.90,-9.04,0.90,ADANIGREEN_MINUTE,rsi_oversold
"-67,125.15","109,537.13",4028,33.84,-20.32,0.79,ADANIENSOL_MINUTE,rsi_oversold
"-81,216.75","88,720.79",4360,33.07,-13.49,0.74,ADANIPOWER_MINUTE,rsi_oversold
"-74,956.61","96,919.19",4603,31.37,-8.95,0.59,ASIANPAINT_MINUTE,rsi_oversold
"-73,683.51","98,672.14",4632,30.63,-7.30,0.61,BAJAJ-AUTO_MINUTE,rsi_oversold
"-74,613.64","93,174.93",4653,32.00,-12.08,0.63,APOLLOHOSP_MINUTE,rsi_oversold
"-55,597.41","131,487.35",4671,36.91,-9.00,0.84,ADANIENT_MINUTE,rsi_oversold
"-76,304.47","112,323.29",4751,33.34,-5.45,0.72,AMBUJACEM_MINUTE,rsi_oversold
"-79,085.68","87,044.08",4716,30.00,-20.39,0.61,ABB_MINUTE,rsi_oversold
"-77,387.77","114,011.97",4808,34.57,-9.27,0.74,ADANIPORTS_MINUTE,rsi_oversold
"-75,564.97","111,805.08",4967,32.47,-6.38,0.69,AXISBANK_MINUTE,rsi_oversold
"-66,312.01","93,172.77",4090,30.61,-8.90,0.60,BAJAJHLDNG_MINUTE,rsi_oversold
"-80,194.65","97,490.91",4776,31.37,-8.03,0.66,BAJAJFINSV_MINUTE,rsi_oversold
"-46,734.64","97,775.22",3151,31.67,-8.15,0.64,BOSCHLTD_MINUTE,rsi_oversold
"-60,873.96","122,238.72",4677,33.33,-4.43,0.75,BAJFINANCE_MINUTE,rsi_oversold
"-58,716.45","141,437.71",4913,35.82,-9.02,0.84,BANKBARODA_MINUTE,rsi_oversold
"-62,061.35","130,733.99",4658,34.71,-7.09,0.76,BHARTIARTL_MINUTE,rsi_oversold
"-67,039.85","113,236.37",4737,32.26,-3.49,0.66,BRITANNIA_MINUTE,rsi_oversold
"-75,716.26","110,993.49",4815,34.16,-6.75,0.73,BPCL_MINUTE,rsi_oversold
"-79,399.68","100,438.81",4966,32.28,-14.34,0.70,BEL_MINUTE,rsi_oversold
"-85,222.75","93,502.43",4877,33.57,-14.15,0.71,BHEL_MINUTE,rsi_oversold
"-60,233.83","136,080.66",4750,35.26,-4.21,0.82,CHOLAFIN_MINUTE,rsi_oversold
"-81,796.36","98,276.58",4968,33.70,-13.69,0.74,CANBK_MINUTE,rsi_oversold
"-79,579.63","98,028.53",4674,32.50,-6.56,0.62,CIPLA_MINUTE,rsi_oversold
"-73,426.82","108,816.73",4640,34.01,-7.61,0.71,COALINDIA_MINUTE,rsi_oversold
"-77,155.81","102,208.48",4735,32.16,-9.50,0.62,DABUR_MINUTE,rsi_oversold
"-64,595.99","77,227.46",3050,29.38,-24.35,0.54,HAL_MINUTE,rsi_oversold
"-54,582.19","103,025.93",3544,31.24,-3.97,0.67,DMART_MINUTE,rsi_oversold
"-70,199.93","107,646.80",4729,33.58,-7.75,0.68,DIVISLAB_MINUTE,rsi_oversold
"-71,936.03","116,799.04",4815,36.05,-6.85,0.78,DLF_MINUTE,rsi_oversold
"-76,603.48","99,294.89",4701,31.61,-8.86,0.61,DRREDDY_MINUTE,rsi_oversold
"-60,020.50","128,459.10",4628,33.84,-3.89,0.76,GODREJCP_MINUTE,rsi_oversold
"-71,173.71","107,224.72",4764,31.82,-8.22,0.68,EICHERMOT_MINUTE,rsi_oversold
"-67,352.05","117,806.81",4718,34.34,-6.33,0.72,GRASIM_MINUTE,rsi_oversold
"-73,360.64","118,694.67",4801,33.74,-6.32,0.75,GAIL_MINUTE,rsi_oversold
"-57,665.71","100,552.22",3445,31.58,-9.86,0.65,HDFCLIFE_MINUTE,rsi_oversold
"-64,708.97","125,533.49",4664,35.33,-4.78,0.75,HAVELLS_MINUTE,rsi_oversold
"-66,610.02","115,607.54",4557,33.55,-4.04,0.69,HCLTECH_MINUTE,rsi_oversold
"-76,162.61","101,017.29",4559,30.73,-5.19,0.57,HDFCBANK_MINUTE,rsi_oversold
"-73,192.10","101,776.01",4749,31.50,-4.96,0.64,HEROMOTOCO_MINUTE,rsi_oversold
"-38,608.85","127,002.18",3413,35.34,-2.34,0.80,ICICIGI_MINUTE,rsi_oversold
"-66,387.84","94,912.09",3953,31.87,-15.68,0.65,ICICIPRULI_MINUTE,rsi_oversold
"-70,040.58","118,240.30",4814,35.69,-5.99,0.76,HINDALCO_MINUTE,rsi_oversold
"-60,077.89","114,978.55",4210,34.47,-7.11,0.75,INDIGO_MINUTE,rsi_oversold
"-74,758.11","103,792.40",4717,31.38,-2.87,0.59,HINDUNILVR_MINUTE,rsi_oversold
"-14,184.27","96,007.09",613,24.63,-5.81,0.55,JIOFIN_MINUTE,rsi_oversold
"-70,910.77","119,443.74",4820,33.67,-3.06,0.71,ICICIBANK_MINUTE,rsi_oversold
"-34,948.80","86,972.08",1436,29.04,-18.21,0.58,IRFC_MINUTE,rsi_oversold
"-114,546.43","96,425.08",4942,34.64,-44.12,0.84,INDIA VIX_MINUTE,rsi_oversold
"-35,159.24","82,367.70",1184,20.52,-17.84,0.34,LICI_MINUTE,rsi_oversold
"-73,106.49","57,337.70",3108,31.92,-44.81,0.52,IRCTC_MINUTE,rsi_oversold
"-8,787.04","120,388.14",1599,36.09,-2.72,0.92,LODHA_MINUTE,rsi_oversold
"-81,403.87","95,423.38",4580,30.79,-9.81,0.56,INFY_MINUTE,rsi_oversold
"-64,562.02","123,488.30",4688,34.13,-4.59,0.75,INDUSINDBK_MINUTE,rsi_oversold
"-86,034.44","92,859.97",4745,32.50,-10.88,0.68,IOC_MINUTE,rsi_oversold
"-85,091.06","93,323.55",4689,29.96,-11.77,0.56,ITC_MINUTE,rsi_oversold
"-53,846.43","143,006.59",4836,37.08,-6.50,0.86,JINDALSTEL_MINUTE,rsi_oversold
"-63,564.60","90,152.56",3747,30.96,-10.48,0.62,LTIM_MINUTE,rsi_oversold
"-82,591.32","104,609.67",4685,33.11,-15.05,0.76,JSWENERGY_MINUTE,rsi_oversold
"-53,550.59","147,166.28",4642,36.08,-4.38,0.83,JSWSTEEL_MINUTE,rsi_oversold
"-59,199.68","128,693.70",4561,34.07,-3.28,0.73,KOTAKBANK_MINUTE,rsi_oversold
"-83,496.85","88,189.36",4880,30.57,-14.74,0.57,LT_MINUTE,rsi_oversold
"-88,438.69","60,392.66",3798,29.70,-40.90,0.53,NHPC_MINUTE,rsi_oversold
"-71,035.15","92,483.83",4903,29.74,-10.56,0.56,MARUTI_MINUTE,rsi_oversold
"-67,248.29","121,715.56",4811,35.07,-4.31,0.77,MOTHERSON_MINUTE,rsi_oversold
"-62,769.17","113,141.35",4670,33.75,-7.54,0.74,NAUKRI_MINUTE,rsi_oversold
"-77,963.92","92,550.83",4680,29.49,-12.66,0.54,NESTLEIND_MINUTE,rsi_oversold
"-74,999.47","109,433.94",4690,32.62,-4.55,0.68,NTPC_MINUTE,rsi_oversold
"-80,063.41","98,153.32",4654,32.51,-7.66,0.66,ONGC_MINUTE,rsi_oversold
"-78,840.70","103,698.38",4866,34.55,-8.71,0.72,PFC_MINUTE,rsi_oversold
"-80,715.40","96,244.61",4734,31.52,-8.19,0.61,PIDILITIND_MINUTE,rsi_oversold
"-95,302.81","83,850.35",4750,32.86,-22.70,0.69,PNB_MINUTE,rsi_oversold
"-77,920.54","105,967.85",4720,32.82,-7.59,0.65,POWERGRID_MINUTE,rsi_oversold
"-26,968.74","114,237.67",2879,34.21,-2.30,0.78,SHREECEM_MINUTE,rsi_oversold
"-55,589.19","99,015.48",3384,32.77,-11.37,0.65,SBILIFE_MINUTE,rsi_oversold
"-82,640.50","101,276.59",4870,33.80,-11.04,0.71,RECLTD_MINUTE,rsi_oversold
"-89,446.02","82,145.07",4805,28.84,-18.89,0.51,RELIANCE_MINUTE,rsi_oversold
"-84,949.51","90,132.61",4864,30.86,-14.04,0.62,SBIN_MINUTE,rsi_oversold
"-66,930.67","119,922.23",4869,35.53,-4.98,0.78,SHRIRAMFIN_MINUTE,rsi_oversold
"-73,417.82","102,890.28",4772,32.23,-6.67,0.68,SIEMENS_MINUTE,rsi_oversold
"-79,383.26","100,129.49",4817,32.01,-8.42,0.64,SUNPHARMA_MINUTE,rsi_oversold
"-73,824.25","104,367.32",4708,33.58,-9.38,0.68,TATACONSUM_MINUTE,rsi_oversold
"-75,459.22","94,210.25",4503,29.80,-8.09,0.55,TCS_MINUTE,rsi_oversold
"-86,711.59","91,329.08",4845,31.31,-10.57,0.66,TATAMOTORS_MINUTE,rsi_oversold
"-89,155.51","87,153.01",4768,32.13,-13.85,0.65,TATAPOWER_MINUTE,rsi_oversold
"-65,851.60","122,602.67",4692,35.00,-7.86,0.76,TVSMOTOR_MINUTE,rsi_oversold
